TIME,REAL 1,IMAGINARY 1,PHASE 1,SYSTEM PHASE 1,CONDUCTANCE 1,IMPEDANCE 1,REAL 2,IMAGINARY 2,PHASE 2,SYSTEM PHASE 2,CONDUCTANCE 2,IMPEDANCE 2,REAL 3,IMAGINARY 3,PHASE 3,SYSTEM PHASE 3,CONDUCTANCE 3,IMPEDANCE 3,REAL 4,IMAGINARY 4,PHASE 4,SYSTEM PHASE 4,CONDUCTANCE 4,IMPEDANCE 4,REAL 5,IMAGINARY 5,PHASE 5,SYSTEM PHASE 5,CONDUCTANCE 5,IMPEDANCE 5,REAL 6,IMAGINARY 6,PHASE 6,SYSTEM PHASE 6,CONDUCTANCE 6,IMPEDANCE 6,REAL 7,IMAGINARY 7,PHASE 7,SYSTEM PHASE 7,CONDUCTANCE 7,IMPEDANCE 7,REAL 8,IMAGINARY 8,PHASE 8,SYSTEM PHASE 8,CONDUCTANCE 8,IMPEDANCE 8,REAL 9,IMAGINARY 9,PHASE 9,SYSTEM PHASE 9,CONDUCTANCE 9,IMPEDANCE 9,REAL 10,IMAGINARY 10,PHASE 10,SYSTEM PHASE 10,CONDUCTANCE 10,IMPEDANCE 10,REAL 11,IMAGINARY 11,PHASE 11,SYSTEM PHASE 11,CONDUCTANCE 11,IMPEDANCE 11,REAL 12,IMAGINARY 12,PHASE 12,SYSTEM PHASE 12,CONDUCTANCE 12,IMPEDANCE 12,REAL 13,IMAGINARY 13,PHASE 13,SYSTEM PHASE 13,CONDUCTANCE 13,IMPEDANCE 13,REAL 14,IMAGINARY 14,PHASE 14,SYSTEM PHASE 14,CONDUCTANCE 14,IMPEDANCE 14,REAL 15,IMAGINARY 15,PHASE 15,SYSTEM PHASE 15,CONDUCTANCE 15,IMPEDANCE 15,REAL 16,IMAGINARY 16,PHASE 16,SYSTEM PHASE 16,CONDUCTANCE 16,IMPEDANCE 16,REAL 17,IMAGINARY 17,PHASE 17,SYSTEM PHASE 17,CONDUCTANCE 17,IMPEDANCE 17,REAL 18,IMAGINARY 18,PHASE 18,SYSTEM PHASE 18,CONDUCTANCE 18,IMPEDANCE 18,REAL 19,IMAGINARY 19,PHASE 19,SYSTEM PHASE 19,CONDUCTANCE 19,IMPEDANCE 19,REAL 20,IMAGINARY 20,PHASE 20,SYSTEM PHASE 20,CONDUCTANCE 20,IMPEDANCE 20,REAL 21,IMAGINARY 21,PHASE 21,SYSTEM PHASE 21,CONDUCTANCE 21,IMPEDANCE 21,REAL 22,IMAGINARY 22,PHASE 22,SYSTEM PHASE 22,CONDUCTANCE 22,IMPEDANCE 22,REAL 23,IMAGINARY 23,PHASE 23,SYSTEM PHASE 23,CONDUCTANCE 23,IMPEDANCE 23,REAL 24,IMAGINARY 24,PHASE 24,SYSTEM PHASE 24,CONDUCTANCE 24,IMPEDANCE 24,REAL 25,IMAGINARY 25,PHASE 25,SYSTEM PHASE 25,CONDUCTANCE 25,IMPEDANCE 25,REAL 26,IMAGINARY 26,PHASE 26,SYSTEM PHASE 26,CONDUCTANCE 26,IMPEDANCE 26,REAL 27,IMAGINARY 27,PHASE 27,SYSTEM PHASE 27,CONDUCTANCE 27,IMPEDANCE 27,REAL 28,IMAGINARY 28,PHASE 28,SYSTEM PHASE 28,CONDUCTANCE 28,IMPEDANCE 28,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.60,28185.18,-19549.33,-0.61,-2.08,0.54,34301.32,6774.56,-10700.02,-1.01,-2.48,2.24,12664.32,6872.32,-10222.34,-0.98,-2.45,2.21,12317.67,6981.84,-10163.53,-0.97,-2.44,2.17,12330.59,6948.92,-10132.25,-0.97,-2.44,2.19,12286.17,6926.17,-10202.55,-0.97,-2.44,2.19,12331.42,6411.50,-10386.41,-1.02,-2.49,2.37,12205.94,6674.39,-10152.58,-0.99,-2.46,2.28,12150.00,6707.03,-11251.38,-1.03,-2.50,2.26,13098.78,7249.33,-11547.75,-1.01,-2.48,2.09,13634.64,7032.09,-12099.26,-1.04,-2.51,2.16,13994.37,7826.94,-12491.38,-1.01,-2.48,1.94,14740.95,7476.37,-11997.62,-1.01,-2.48,2.03,14136.44,7564.35,-11785.72,-1.00,-2.47,2.01,14004.38,7517.28,-11702.92,-1.00,-2.47,2.02,13909.27,7605.36,-12316.57,-1.02,-2.49,2.00,14475.47,7343.64,-11473.03,-1.00,-2.47,2.07,13622.02,7214.58,-11412.18,-1.01,-2.48,2.10,13501.41,7493.70,-12126.42,-1.02,-2.49,2.03,14255.02,7660.94,-12641.16,-1.03,-2.49,1.98,14781.37,7615.75,-14036.99,-1.07,-2.54,1.99,15969.87,7841.02,-16942.26,-1.14,-2.61,1.94,18668.74,8225.88,-14738.86,-1.06,-2.53,1.85,16878.96,7786.09,-16627.11,-1.13,-2.60,1.95,18359.85,4773.12,-11505.41,-1.18,-2.65,3.18,12456.21,20879.54,-53100.01,-1.20,-2.66,0.73,57057.57,3919.24,-9410.05,-1.18,-2.64,3.87,10193.60,2395.04,174.30,0.07,-1.40,6.34,2401.37,
0.96,6669.09,-10583.91,-1.01,-2.48,2.28,12509.83,6751.25,-10531.87,-1.00,-2.47,2.25,12509.98,6878.04,-9907.80,-0.96,-2.43,2.21,12061.17,6955.06,-10026.76,-0.96,-2.43,2.18,12202.82,6921.77,-9999.32,-0.97,-2.43,2.19,12161.30,6918.29,-9893.73,-0.96,-2.43,2.19,12072.64,6408.92,-10126.07,-1.01,-2.48,2.37,11983.81,6653.30,-10000.27,-0.98,-2.45,2.28,12011.32,6717.59,-11069.82,-1.03,-2.49,2.26,12948.63,7228.16,-11250.05,-1.00,-2.47,2.10,13371.98,7042.98,-11695.29,-1.03,-2.50,2.16,13652.23,7822.55,-12164.13,-1.00,-2.47,1.94,14462.31,7470.11,-11707.49,-1.00,-2.47,2.03,13887.69,7536.93,-11581.96,-0.99,-2.46,2.01,13818.36,7504.14,-11458.32,-0.99,-2.46,2.02,13696.90,7573.61,-12125.31,-1.01,-2.48,2.01,14296.25,7321.78,-11316.17,-1.00,-2.47,2.07,13478.29,7214.61,-11131.59,-1.00,-2.46,2.10,13265.10,7509.76,-11712.81,-1.00,-2.47,2.02,13913.54,7659.94,-12255.33,-1.01,-2.48,1.98,14452.25,7626.56,-13651.49,-1.06,-2.53,1.99,15637.37,7751.93,-16628.78,-1.13,-2.60,1.96,18346.91,8319.38,-14085.54,-1.04,-2.51,1.83,16358.93,8003.68,-15848.67,-1.10,-2.57,1.90,17754.98,4817.43,-10960.48,-1.16,-2.63,3.15,11972.46,20454.69,-49565.16,-1.18,-2.65,0.74,53619.95,3941.23,-8984.75,-1.16,-2.63,3.85,9811.17,2395.12,173.96,0.07,-1.40,6.34,2401.43,
1.33,6650.56,-10513.57,-1.01,-2.48,2.28,12440.46,6768.84,-10287.46,-0.99,-2.46,2.24,12314.59,6859.29,-9851.30,-0.96,-2.43,2.21,12004.08,6968.47,-9787.76,-0.95,-2.42,2.18,12014.98,6928.92,-9814.44,-0.96,-2.42,2.19,12013.87,6860.91,-9903.31,-0.96,-2.43,2.21,12047.73,6400.81,-9964.67,-1.00,-2.47,2.37,11843.35,6644.98,-9936.87,-0.98,-2.45,2.29,11953.96,6739.13,-10826.69,-1.01,-2.48,2.25,12752.77,7195.13,-11223.53,-1.00,-2.47,2.11,13331.82,7029.00,-11548.46,-1.02,-2.49,2.16,13519.38,7793.16,-12145.22,-1.00,-2.47,1.95,14430.52,7469.64,-11527.44,-1.00,-2.46,2.03,13735.99,7549.29,-11325.69,-0.98,-2.45,2.01,13611.13,7473.47,-11404.75,-0.99,-2.46,2.03,13635.29,7555.38,-12030.87,-1.01,-2.48,2.01,14206.54,7319.54,-11097.59,-0.99,-2.46,2.07,13294.07,7195.20,-11065.35,-0.99,-2.46,2.11,13198.97,7485.04,-11700.21,-1.00,-2.47,2.03,13889.59,7661.61,-12064.35,-1.00,-2.47,1.98,14291.56,7570.64,-13596.93,-1.06,-2.53,2.01,15562.49,7759.68,-16326.24,-1.13,-2.60,1.96,18076.47,8318.58,-13864.12,-1.03,-2.50,1.83,16168.26,7999.27,-15655.24,-1.10,-2.57,1.90,17580.52,4817.56,-10747.46,-1.15,-2.62,3.15,11777.81,19679.65,-50295.42,-1.20,-2.67,0.77,54008.50,3914.97,-9006.61,-1.16,-2.63,3.88,9820.70,2395.12,174.44,0.07,-1.40,6.34,2401.47,
1.70,6661.97,-10395.36,-1.00,-2.47,2.28,12346.88,6766.56,-10181.16,-0.98,-2.45,2.24,12224.67,6847.33,-9839.17,-0.96,-2.43,2.22,11987.29,6966.49,-9653.24,-0.95,-2.41,2.18,11904.49,6902.67,-9835.13,-0.96,-2.43,2.20,12015.68,6896.49,-9725.81,-0.95,-2.42,2.20,11922.79,6391.86,-9955.63,-1.00,-2.47,2.38,11830.91,6566.41,-9779.40,-0.98,-2.45,2.31,11779.41,6817.16,-10361.19,-0.99,-2.46,2.23,12402.74,7181.85,-11150.80,-1.00,-2.47,2.11,13263.46,7003.54,-11562.32,-1.03,-2.50,2.17,13518.02,7773.49,-12085.21,-1.00,-2.47,1.95,14369.39,7442.99,-11546.84,-1.00,-2.47,2.04,13737.82,7523.03,-11321.65,-0.98,-2.45,2.02,13593.23,7489.03,-11202.62,-0.98,-2.45,2.03,13475.32,7542.10,-11935.25,-1.01,-2.48,2.01,14118.55,7310.12,-10982.92,-0.98,-2.45,2.08,13193.27,7191.50,-11019.66,-0.99,-2.46,2.11,13158.67,7481.70,-11515.28,-0.99,-2.46,2.03,13732.35,7649.29,-12011.90,-1.00,-2.47,1.99,14240.69,7598.89,-13458.84,-1.06,-2.53,2.00,15455.86,7932.16,-15732.56,-1.10,-2.57,1.91,17619.10,8210.21,-14038.59,-1.04,-2.51,1.85,16263.14,7884.65,-15762.95,-1.11,-2.58,1.93,17624.93,4837.28,-10614.18,-1.14,-2.61,3.14,11664.48,19246.04,-49987.38,-1.20,-2.67,0.79,53564.43,3913.84,-8882.36,-1.16,-2.62,3.88,9706.41,2395.09,174.07,0.07,-1.40,6.34,2401.41,
2.07,6649.18,-10404.06,-1.00,-2.47,2.28,12347.31,6774.66,-10101.64,-0.98,-2.45,2.24,12163.03,6844.74,-9802.45,-0.96,-2.43,2.22,11955.69,6969.29,-9545.70,-0.94,-2.41,2.18,11819.12,6901.87,-9789.77,-0.96,-2.43,2.20,11978.12,6887.06,-9825.18,-0.96,-2.43,2.20,11998.57,6385.70,-9840.67,-1.00,-2.46,2.38,11730.98,6551.97,-9748.81,-0.98,-2.45,2.32,11745.96,6805.31,-10305.34,-0.99,-2.46,2.23,12349.59,7199.91,-10912.39,-0.99,-2.46,2.11,13073.59,7018.63,-11402.51,-1.02,-2.49,2.16,13389.49,7763.06,-12011.30,-1.00,-2.47,1.96,14301.63,7428.51,-11529.87,-1.00,-2.47,2.04,13715.71,7523.61,-11189.76,-0.98,-2.45,2.02,13483.90,7475.10,-11133.43,-0.98,-2.45,2.03,13410.09,7536.96,-11865.06,-1.00,-2.47,2.01,14056.51,7322.98,-10840.54,-0.98,-2.45,2.07,13082.18,7188.44,-10948.87,-0.99,-2.46,2.11,13097.76,7464.67,-11493.62,-0.99,-2.46,2.03,13704.91,7634.91,-11890.31,-1.00,-2.47,1.99,14130.51,7600.39,-13284.74,-1.05,-2.52,2.00,15305.23,7951.18,-15427.71,-1.09,-2.56,1.91,17356.14,8221.63,-13944.56,-1.04,-2.51,1.85,16187.84,7895.34,-15696.08,-1.10,-2.57,1.92,17569.95,4861.32,-10517.23,-1.14,-2.61,3.12,11586.40,19837.39,-47824.98,-1.18,-2.65,0.77,51775.96,3915.03,-8890.39,-1.16,-2.62,3.88,9714.25,2395.01,174.41,0.07,-1.40,6.34,2401.35,
2.43,6642.59,-10375.68,-1.00,-2.47,2.29,12319.85,6773.46,-10020.40,-0.98,-2.45,2.24,12094.96,6835.04,-9770.12,-0.96,-2.43,2.22,11923.63,6954.33,-9641.71,-0.95,-2.41,2.18,11888.03,6907.99,-9651.77,-0.95,-2.42,2.20,11869.16,6888.94,-9744.79,-0.96,-2.42,2.20,11933.92,6393.72,-9752.76,-0.99,-2.46,2.38,11661.73,6603.35,-9670.54,-0.97,-2.44,2.30,11709.98,6688.12,-10672.43,-1.01,-2.48,2.27,12594.91,7178.33,-10934.71,-0.99,-2.46,2.12,13080.38,7010.40,-11352.79,-1.02,-2.49,2.17,13342.85,7762.87,-11945.89,-0.99,-2.46,1.96,14246.63,7429.70,-11466.10,-1.00,-2.46,2.04,13662.79,7516.24,-11149.27,-0.98,-2.45,2.02,13446.19,7467.99,-11066.98,-0.98,-2.45,2.03,13350.99,7535.64,-11759.16,-1.00,-2.47,2.02,13966.52,7307.96,-10879.68,-0.98,-2.45,2.08,13106.25,7179.02,-10909.47,-0.99,-2.46,2.12,13059.67,7458.20,-11427.62,-0.99,-2.46,2.04,13646.07,7647.83,-11851.96,-1.00,-2.47,1.99,14105.26,7625.39,-13079.41,-1.04,-2.51,1.99,15139.93,7829.44,-15781.10,-1.11,-2.58,1.94,17616.57,8289.85,-13654.69,-1.03,-2.49,1.83,15974.11,7987.15,-15363.93,-1.09,-2.56,1.90,17316.04,4846.18,-10405.45,-1.13,-2.60,3.13,11478.63,19713.83,-48580.62,-1.19,-2.65,0.77,52428.16,3939.65,-8619.97,-1.14,-2.61,3.85,9477.59,2395.09,174.07,0.07,-1.40,6.34,2401.41,
2.80,6649.63,-10335.86,-1.00,-2.47,2.28,12290.15,6776.55,-9944.48,-0.97,-2.44,2.24,12033.89,6846.17,-9628.55,-0.95,-2.42,2.22,11814.36,6929.05,-9662.48,-0.95,-2.42,2.19,11890.14,6918.56,-9526.22,-0.94,-2.41,2.19,11773.50,6879.21,-9760.28,-0.96,-2.43,2.21,11940.96,6404.16,-9626.99,-0.98,-2.45,2.37,11562.53,6573.95,-9743.54,-0.98,-2.45,2.31,11753.86,6666.93,-10589.90,-1.01,-2.48,2.28,12513.75,7170.16,-10903.06,-0.99,-2.46,2.12,13049.44,7010.24,-11383.74,-1.02,-2.49,2.17,13369.11,7772.93,-11807.41,-0.99,-2.46,1.95,14136.25,7435.41,-11314.02,-0.99,-2.46,2.04,13538.56,7517.61,-11024.67,-0.97,-2.44,2.02,13343.83,7451.66,-11122.70,-0.98,-2.45,2.04,13388.12,7546.95,-11613.85,-0.99,-2.46,2.01,13850.56,7309.24,-10800.56,-0.98,-2.44,2.08,13041.36,7171.38,-10910.70,-0.99,-2.46,2.12,13056.49,7461.84,-11341.92,-0.99,-2.46,2.04,13576.38,7633.82,-11804.85,-1.00,-2.47,1.99,14058.09,7663.07,-12850.46,-1.03,-2.50,1.98,14961.85,7882.75,-15473.08,-1.10,-2.57,1.93,17365.31,8243.73,-13658.55,-1.03,-2.50,1.84,15953.53,7897.25,-15460.26,-1.10,-2.57,1.92,17360.48,4858.28,-10368.53,-1.13,-2.60,3.13,11450.29,19543.70,-48437.38,-1.19,-2.66,0.78,52231.56,3942.58,-8549.17,-1.14,-2.61,3.85,9414.47,2394.95,173.68,0.07,-1.40,6.34,2401.24,
3.17,6660.96,-10224.14,-0.99,-2.46,2.28,12202.52,6749.22,-10050.51,-0.98,-2.45,2.25,12106.39,6861.65,-9510.88,-0.95,-2.41,2.21,11727.71,6926.26,-9661.84,-0.95,-2.42,2.19,11887.99,6921.28,-9486.61,-0.94,-2.41,2.19,11743.08,6874.31,-9768.02,-0.96,-2.43,2.21,11944.48,6401.62,-9569.77,-0.98,-2.45,2.37,11513.52,6578.58,-9686.73,-0.97,-2.44,2.31,11709.41,6675.45,-10613.28,-1.01,-2.48,2.27,12538.07,7176.23,-10825.65,-0.99,-2.45,2.12,12988.19,6987.58,-11351.83,-1.02,-2.49,2.17,13330.05,7755.83,-11780.82,-0.99,-2.46,1.96,14104.63,7420.42,-11336.61,-0.99,-2.46,2.05,13549.22,7521.24,-10943.58,-0.97,-2.44,2.02,13278.97,7440.88,-11146.10,-0.98,-2.45,2.04,13401.58,7547.52,-11536.61,-0.99,-2.46,2.01,13786.17,7294.93,-10825.21,-0.98,-2.45,2.08,13053.78,7190.37,-10719.71,-0.98,-2.45,2.11,12907.89,7453.08,-11394.27,-0.99,-2.46,2.04,13615.35,7636.98,-11692.64,-0.99,-2.46,1.99,13965.72,7655.71,-12832.67,-1.03,-2.50,1.98,14942.80,7866.73,-15549.12,-1.10,-2.57,1.93,17425.87,8286.83,-13620.14,-1.02,-2.49,1.83,15943.01,7970.78,-15306.14,-1.09,-2.56,1.91,17257.21,4844.13,-10456.08,-1.14,-2.61,3.13,11523.69,19339.71,-48336.37,-1.19,-2.66,0.79,52061.78,3917.71,-8644.72,-1.15,-2.61,3.88,9491.03,2394.95,174.64,0.07,-1.40,6.34,2401.31,
3.54,6680.56,-10082.62,-0.99,-2.45,2.27,12095.01,6757.62,-9957.48,-0.97,-2.44,2.25,12033.99,6838.69,-9635.51,-0.95,-2.42,2.22,11815.70,6933.81,-9575.81,-0.94,-2.41,2.19,11822.60,6911.77,-9450.39,-0.94,-2.41,2.20,11708.22,6877.02,-9621.21,-0.95,-2.42,2.21,11826.29,6392.54,-9609.30,-0.98,-2.45,2.38,11541.37,6577.06,-9692.09,-0.97,-2.44,2.31,11713.00,6661.79,-10594.80,-1.01,-2.48,2.28,12515.16,7158.89,-10881.41,-0.99,-2.46,2.12,13025.16,7006.37,-11209.87,-1.01,-2.48,2.17,13219.32,7761.33,-11736.11,-0.99,-2.46,1.96,14070.34,7422.45,-11243.97,-0.99,-2.46,2.05,13472.93,7521.52,-10928.84,-0.97,-2.44,2.02,13266.98,7443.36,-11022.33,-0.98,-2.45,2.04,13300.20,7547.16,-11435.93,-0.99,-2.46,2.01,13701.83,7295.52,-10760.84,-0.98,-2.44,2.08,13000.78,7181.03,-10762.92,-0.98,-2.45,2.11,12938.62,7450.01,-11342.11,-0.99,-2.46,2.04,13570.04,7634.15,-11662.67,-0.99,-2.46,1.99,13939.09,7679.94,-12653.49,-1.03,-2.49,1.98,14801.77,7826.67,-15568.39,-1.10,-2.57,1.94,17425.02,8249.46,-13672.01,-1.03,-2.50,1.84,15968.01,7910.65,-15265.56,-1.09,-2.56,1.92,17193.48,4868.67,-10333.93,-1.13,-2.60,3.12,11423.40,19420.27,-47903.28,-1.19,-2.65,0.78,51690.15,3958.11,-8396.73,-1.13,-2.60,3.84,9282.87,2395.12,174.44,0.07,-1.40,6.34,2401.47,
